classifier,duration,score,accuracy,r2,mse,rmse,precision,recall,balanced_accuracy,f1
Dummy,0.003998279571533203,0.8,0.8,-0.24999999999999978,0.2,0.4472135954999579,0.8,1.0,0.5,0.8888888888888888
Nearest Neighbors,10.389820337295532,0.8828333333333334,0.8828333333333334,0.26770833333333355,0.11716666666666667,0.34229616805723473,0.8726578133527378,0.999375,0.7080208333333333,0.9317276876760221
Linear SVM,81.8829071521759,0.9585,0.9585,0.7406250000000001,0.0415,0.20371548787463364,0.9506833036244801,1.0,0.89625,0.9747182455071581
RBF SVM,500.8736927509308,0.9573333333333334,0.9573333333333334,0.7333333333333334,0.042666666666666665,0.2065591117977289,0.9493670886075949,1.0,0.8933333333333333,0.974025974025974
Decision Tree,2.165593147277832,0.9041666666666667,0.9041666666666667,0.40104166666666685,0.09583333333333334,0.30956959368344517,0.8930232558139535,1.0,0.7604166666666667,0.9434889434889435
Random Forest,0.28936195373535156,0.8,0.8,-0.24999999999999978,0.2,0.4472135954999579,0.8,1.0,0.5,0.8888888888888888
Neural Net,57.15774369239807,0.9675,0.9675,0.796875,0.0325,0.18027756377319948,0.960960960960961,1.0,0.91875,0.9800918836140888
AdaBoost,39.16093468666077,0.8791666666666667,0.8791666666666667,0.24479166666666685,0.12083333333333333,0.3476108935769035,0.8687782805429864,1.0,0.6979166666666666,0.9297820823244553
Gaussian Naive Bayes,1.3067266941070557,0.9223333333333333,0.9223333333333333,0.5145833333333334,0.07766666666666666,0.27868739954771304,0.9115077857956704,1.0,0.8058333333333334,0.9537055434134711
QDA,14.855321884155273,0.9228333333333333,0.9228333333333333,0.5177083333333334,0.07716666666666666,0.27778888866667556,0.9120273608208246,1.0,0.8070833333333334,0.9539898638576965
Stochastic Gradient Descent,0.593930721282959,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
